model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,interpolation_method,
15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,1389.6790535449982,0.9951388835906982,0.0258267130702734,7886019,0.0245382860302925,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147,savgol,
16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,596.0881524085999,0.9951388835906982,0.023276749998331,3958019,0.0296360440552234,0.9911110997200012,1.0,0.9740259647369384,1.0,1.0,1.0,0.9733333587646484,savgol,
17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,312.6051096916199,0.9944444298744202,0.0339798964560031,1033219,0.0444942265748977,0.9894444346427916,1.0,0.9882746934890748,0.9801653027534484,0.996666669845581,0.9833333492279052,0.9883333444595336,savgol,
18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,670.0397219657898,0.9951388835906982,0.0245395582169294,2115459,0.039060890674591,0.9916666746139526,1.0,0.9771987199783324,0.9982964396476746,0.9983333349227904,1.0,0.9766666889190674,savgol,
19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,910.555835723877,0.9944444298744202,0.0190498437732458,7830531,0.0178706422448158,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,savgol,
20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,480.5887537002564,0.9944444298744202,0.0203144084662199,3642627,0.0230842214077711,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,savgol,
21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,128.3463830947876,0.9930555820465088,0.026250947266817,510915,0.0372602455317974,0.9888888597488404,1.0,0.9693053364753724,0.9982817769050598,0.9983333349227904,1.0,0.9683333039283752,savgol,
22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,276.69737482070923,0.993749976158142,0.0308285523205995,1090947,0.0233238656073808,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,savgol,
23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,137.63682079315186,0.9951388835906982,0.0267970617860555,515075,0.0149936052039265,0.9950000047683716,1.0,0.9868420958518982,0.9983136653900146,0.9983333349227904,1.0,0.9866666793823242,savgol,
24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,111.74282431602478,0.9944444298744202,0.0213134177029132,265155,0.0473702885210514,0.9883333444595336,1.0,0.966183602809906,1.0,1.0,1.0,0.9649999737739564,savgol,
25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,161.3582501411438,0.993749976158142,0.0316164828836917,986563,0.0239777751266956,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,savgol,
26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,101.995619058609,0.9944444298744202,0.0246379990130662,510915,0.0246146358549594,0.995555579662323,1.0,0.9884678721427916,0.998316526412964,0.9983333349227904,1.0,0.9883333444595336,savgol,
27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,165.84212517738342,0.9951388835906982,0.0247181393206119,510915,0.0254395268857479,0.992222249507904,1.0,0.9803921580314636,0.996610164642334,0.996666669845581,1.0,0.9800000190734864,savgol,
28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,320.8844301700592,0.993749976158142,0.0354591272771358,1140227,0.0345793142914772,0.9900000095367432,1.0,0.9739413857460022,0.9965870380401612,1.0,0.996666669845581,0.9733333587646484,savgol,
29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,122.19174909591676,0.9930555820465088,0.0261371936649084,506755,0.0262160282582044,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,savgol,
30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,138.6663737297058,0.9944444298744202,0.0294128395617008,674755,0.0292021054774522,0.992222249507904,1.0,0.9787928462028505,0.9982993006706238,0.9983333349227904,1.0,0.9783333539962769,savgol,
